odscode,isactivated
A82039,1
C81034,1
D83033,1
E82655,1
E83034,1
E84022,1
E84039,0
E84709,1
F81019,0
F83006,1
F83021,0
F83023,1
F83025,1
F83033,0
F83043,1
F83044,1
F83048,1
F83061,1
F83063,0
F83064,0
F83624,0
F83632,1
F83635,0
F83652,0
F83665,1
F83678,0
F83683,1
F84003,1
F84031,1
F84034,1
F84044,1
F84053,1
F84074,1
F84088,1
F84114,1
F84118,1
F84122,1
F84123,1
F84669,0
F84670,1
F84696,1
F84698,1
F84724,1
F85002,0
F85020,0
F85034,1
F85046,1
F85069,1
F85625,1
F85642,1
F85650,1
F85700,1
F85701,1
F86001,1
F86005,1
F86006,1
F86011,1
F86030,1
F86036,1
F86058,1
F86062,1
F86607,1
F86626,0
F86650,1
F86689,1
F86700,1
G81007,0
G81048,0
G81088,1
G81102,1
G81634,1
G82014,1
G82064,1
G82066,1
G82071,1
G82073,1
G82077,1
G82097,1
G82100,0
G85004,1
G85034,1
G85647,1
G85695,1
H81031,0
H81035,1
H81037,0
H81051,1
H81060,1
H81071,1
H81074,1
H81091,1
H81613,1
H81638,0
H81644,1
H81656,1
H82040,1
H82056,1
H82063,1
H83001,1
H83017,0
H84020,1
H84033,1
H84042,0
H84051,0
H84061,1
H85001,1
H85007,0
H85009,1
H85011,1
H85020,1
H85037,1
H85041,1
H85052,1
H85057,1
H85061,0
H85066,1
H85069,1
H85070,1
H85076,1
H85082,1
H85110,1
H85618,1
H85634,1
H85637,1
H85680,1
H85682,0
J82034,0
J82066,0
K81005,1
K81075,1
K81083,1
K81616,0
K82006,1
K84003,1
K84075,1
L85030,1
L85033,1
M81046,1
M81078,1
M83030,1
M83033,1
M84017,1
M85145,1
M85711,1
M85733,1
M86035,1
M86605,1
N81022,1
N83045,0
P84046,1
P84640,0
P84650,1
P84663,1
P87027,1
P87654,0
P92042,1
Y00159,0
Y00316,1
Y01839,1
Y02674,1
Y03023,1
Y05273,1
Y07020,1
Y07292,1
